id;mac_id;oyuncu_id;takim_tarafi;baslangic_11;dakika_giris;dakika_cikis;sari_kart_sayisi;kirmizi_kart;gol_sayisi
37;1;4;EV;DOÐRU;NULL;NULL;1;YANLIÞ;0
38;1;13;EV;DOÐRU;NULL;NULL;1;YANLIÞ;0
39;1;12;EV;DOÐRU;NULL;NULL;0;YANLIÞ;0
40;1;16;EV;DOÐRU;NULL;NULL;1;YANLIÞ;0
41;1;8;EV;DOÐRU;NULL;NULL;0;YANLIÞ;0
42;1;18;EV;DOÐRU;NULL;NULL;0;YANLIÞ;0
43;1;1;EV;DOÐRU;NULL;NULL;0;YANLIÞ;0
44;1;21;EV;DOÐRU;NULL;NULL;0;YANLIÞ;0
45;1;29;EV;DOÐRU;NULL;NULL;0;YANLIÞ;0
46;1;31;EV;DOÐRU;NULL;NULL;0;YANLIÞ;0
47;1;32;EV;DOÐRU;NULL;NULL;0;YANLIÞ;0
48;1;30;EV;YANLIÞ;NULL;NULL;0;YANLIÞ;1
49;1;28;EV;YANLIÞ;NULL;NULL;0;YANLIÞ;0
50;1;22;EV;YANLIÞ;NULL;NULL;0;YANLIÞ;0
51;1;23;EV;YANLIÞ;NULL;NULL;0;YANLIÞ;0
52;1;5;EV;YANLIÞ;NULL;NULL;0;YANLIÞ;0
53;1;25;EV;YANLIÞ;NULL;NULL;0;YANLIÞ;0
54;1;35;DEPLASMAN;DOÐRU;NULL;NULL;0;YANLIÞ;0
55;1;39;DEPLASMAN;DOÐRU;NULL;NULL;0;YANLIÞ;0
56;1;42;DEPLASMAN;DOÐRU;NULL;NULL;0;YANLIÞ;0
57;1;43;DEPLASMAN;DOÐRU;NULL;NULL;0;YANLIÞ;0
58;1;50;DEPLASMAN;DOÐRU;NULL;NULL;1;YANLIÞ;0
59;1;49;DEPLASMAN;DOÐRU;NULL;NULL;1;YANLIÞ;0
60;1;51;DEPLASMAN;DOÐRU;NULL;NULL;0;YANLIÞ;0
61;1;46;DEPLASMAN;DOÐRU;NULL;NULL;0;YANLIÞ;0
62;1;58;DEPLASMAN;DOÐRU;NULL;NULL;0;YANLIÞ;0
63;1;54;DEPLASMAN;DOÐRU;NULL;NULL;1;YANLIÞ;1
64;1;2;DEPLASMAN;DOÐRU;NULL;NULL;0;YANLIÞ;0
65;1;53;DEPLASMAN;YANLIÞ;NULL;NULL;0;YANLIÞ;0
66;1;55;DEPLASMAN;YANLIÞ;NULL;NULL;0;YANLIÞ;0
67;1;47;DEPLASMAN;YANLIÞ;NULL;NULL;0;YANLIÞ;0
68;1;45;DEPLASMAN;YANLIÞ;NULL;NULL;0;YANLIÞ;0
69;1;33;DEPLASMAN;YANLIÞ;NULL;NULL;0;YANLIÞ;0
